unicef_region,iso3,country,vaccine,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EAPR,SLB,Solomon Islands,BCG,83,82,77,83,78,80,79,81,82,85,94,91,92,92,98,99,96,99,93,87,94,99,99,74,73,96,77,76,66,75,83,87,82,79,66,47,50,61,39,36,43,65
ESAR,SOM,Somalia,BCG,37,37,37,37,37,37,37,37,37,37,39,41,29,36,38,40,50,50,65,60,70,69,71,54,37,43,46,48,42,37,31,31,31,39,33,28,30,17,7,8,3,6
ESAR,ZAF,South Africa,BCG,86,86,84,70,75,79,83,93,88,86,84,81,82,84,79,79,76,78,81,84,86,89,92,94,97,95,95,95,95,66,63,57,73,55,64,61,70,67,71,,,
ESAR,SSD,South Sudan,BCG,52,52,52,52,52,52,55,55,58,65,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSA,LKA,Sri Lanka,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,90,96,88,90,86,88,87,88,84,90,81,76,79,71,67,64,65,58,61
MENA,PSE,State of Palestine,BCG,99,99,99,99,99,99,99,99,99,98,98,98,99,99,99,99,99,98,99,96,97,92,91,92,89,95,91,99,,,,,,,,,,,,,,
MENA,SDN,Sudan,BCG,80,92,92,88,97,96,88,95,93,92,92,90,82,88,83,77,72,66,69,65,67,56,66,61,70,71,63,60,66,68,78,77,75,54,43,22,12,8,5,3,3,2
Non-programme,SWE,Sweden,BCG,24,26,25,26,25,26,24,26,27,24,23,23,21,23,23,21,20,18,17,16,16,16,16,16,15,14,14,13,13,13,12,13,13,14,14,14,16,16,10,6,4,3
MENA,SYR,Syrian Arab Republic,BCG,76,74,84,79,78,72,66,81,84,82,90,97,95,93,93,91,90,90,90,90,91,91,91,91,91,91,91,91,91,92,95,92,98,87,71,98,53,49,45,37,36,35
ECAR,TJK,Tajikistan,BCG,98,98,98,99,98,98,98,98,98,97,97,98,82,89,83,93,97,95,98,97,96,98,98,98,99,99,96,96,69,88,,,,,,,,,,,,
EAPR,THA,Thailand,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,98,98,99,99,99,99,99,98,91,93,83,80,76,75,73,71,68
EAPR,TLS,Timor-Leste,BCG,88,88,95,95,95,86,79,79,86,86,79,79,74,85,74,74,70,72,72,75,,,,,,,,,,,,,,,,,,,,,,
WCAR,TGO,Togo,BCG,98,96,98,97,89,93,93,82,97,97,97,97,91,92,91,96,96,91,79,81,83,84,81,70,76,79,83,86,89,92,96,99,94,91,95,53,54,55,51,48,44,
EAPR,TON,Tonga,BCG,99,99,99,99,99,91,91,99,99,95,99,99,99,99,99,99,99,99,99,95,91,99,99,99,99,99,99,99,97,96,99,99,97,95,93,98,99,78,83,98,86,99
MENA,TUN,Tunisia,BCG,85,92,91,92,91,95,97,95,97,99,98,98,98,99,99,99,98,97,93,91,91,95,94,93,97,97,97,97,97,97,96,96,96,95,93,92,90,89,88,87,,
ECAR,TUR,Türkiye,BCG,95,96,96,96,93,96,96,95,96,96,96,97,96,96,94,88,88,85,88,89,95,96,93,91,89,89,90,91,90,89,91,93,95,97,87,82,76,71,65,47,42,
ECAR,TKM,Turkmenistan,BCG,98,98,98,98,98,98,99,99,98,99,98,99,99,99,99,99,99,99,99,99,99,99,99,98,97,93,93,97,94,97,,,,,,,,,,,,
EAPR,TUV,Tuvalu,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,88,90,87,97,95,96,98,95,86,92,90,90,99,78,89,99
ESAR,UGA,Uganda,BCG,83,91,88,88,89,94,95,91,93,95,97,86,90,86,87,83,90,88,87,85,83,82,80,75,82,82,83,84,82,79,77,75,72,70,61,51,37,32,28,23,18,
ECAR,UKR,Ukraine,BCG,86,93,84,90,84,75,39,39,95,95,90,92,94,95,98,97,96,98,98,98,98,98,99,97,97,97,95,92,89,93,,,,,,,,,,,,
MENA,ARE,United Arab Emirates,BCG,99,86,94,95,95,99,96,90,94,94,96,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,96,96,96,93,92,78,60,42,37,28,18,15
ESAR,TZA,United Republic of Tanzania,BCG,75,87,91,91,93,95,97,99,99,99,99,99,93,89,89,90,91,91,91,88,91,86,87,83,85,80,96,92,94,99,95,85,92,93,94,82,90,73,83,64,74,72
LACR,URY,Uruguay,BCG,99,99,99,98,98,98,98,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,98,98,92,92,93,99,76,76,56
ECAR,UZB,Uzbekistan,BCG,99,99,99,96,99,99,99,99,99,99,99,99,99,96,99,99,93,99,99,99,98,98,98,97,97,96,99,93,98,98,,,,,,,,,,,,
EAPR,VUT,Vanuatu,BCG,76,77,97,94,95,94,95,95,93,92,90,88,86,85,83,81,81,80,80,80,79,79,79,78,78,72,67,82,96,84,99,96,80,73,79,75,83,64,58,61,32,
LACR,VEN,Venezuela (Bolivarian Republic of),BCG,68,82,91,92,94,97,99,97,95,96,95,92,91,90,82,83,95,96,91,90,93,99,98,82,89,90,91,95,81,85,90,82,88,76,63,86,89,92,82,76,77,72
EAPR,VNM,Viet Nam,BCG,88,95,96,95,97,95,97,96,95,98,98,94,97,92,94,95,95,96,97,97,97,98,95,93,96,95,96,96,94,91,91,90,94,79,59,55,50,48,4,,,
MENA,YEM,Yemen,BCG,70,71,69,64,66,73,47,73,71,64,59,65,58,60,64,67,66,64,66,73,78,82,79,66,54,58,60,41,57,54,63,95,75,52,30,23,20,16,15,13,12,9
ESAR,ZMB,Zambia,BCG,92,85,95,91,99,99,97,99,95,92,92,92,92,91,91,92,92,93,93,94,94,94,95,95,95,96,97,98,92,94,95,97,97,97,97,95,92,71,68,70,72,
ESAR,ZWE,Zimbabwe,BCG,88,88,95,95,95,95,90,99,95,98,98,99,90,91,87,84,80,76,78,80,82,84,86,88,92,96,96,95,95,91,91,91,90,89,94,94,76,69,67,65,64,
