country,iso2,iso3,year,case.type,sex,age.group,area.type,area.type.description,prev,prev.lo,prev.hi
Bangladesh,BD,BGD,2008,s,a,15_24,a,All areas,43,,
Bangladesh,BD,BGD,2008,s,a,15plus,a,All areas,79,47,134
Bangladesh,BD,BGD,2008,s,a,25_34,a,All areas,46,,
Bangladesh,BD,BGD,2008,s,a,35_44,a,All areas,82,,
Bangladesh,BD,BGD,2008,s,a,45_54,a,All areas,99,,
Bangladesh,BD,BGD,2008,s,a,55_64,a,All areas,201,,
Bangladesh,BD,BGD,2008,s,a,65plus,a,All areas,150,,
Bangladesh,BD,BGD,2008,s,f,15plus,a,All areas,40,,
Bangladesh,BD,BGD,2008,s,m,15plus,a,All areas,122,,
Bangladesh,BD,BGD,2015,b,a,15_24,a,All areas,103,65,152
Bangladesh,BD,BGD,2015,b,a,15plus,a,All areas,287,244,330
Bangladesh,BD,BGD,2015,b,a,25_34,a,All areas,183,122,244
Bangladesh,BD,BGD,2015,b,a,35_44,a,All areas,302,215,389
Bangladesh,BD,BGD,2015,b,a,45_54,a,All areas,338,235,441
Bangladesh,BD,BGD,2015,b,a,55_64,a,All areas,462,317,607
Bangladesh,BD,BGD,2015,b,a,65plus,a,All areas,954,715,1194
Bangladesh,BD,BGD,2015,b,f,15plus,a,All areas,143,109,178
Bangladesh,BD,BGD,2015,b,m,15plus,a,All areas,452,379,526
Bangladesh,BD,BGD,2015,s,a,15_24,a,All areas,45,21,69
Bangladesh,BD,BGD,2015,s,a,15plus,a,All areas,113,87,139
Bangladesh,BD,BGD,2015,s,a,25_34,a,All areas,77,39,116
Bangladesh,BD,BGD,2015,s,a,35_44,a,All areas,138,74,202
Bangladesh,BD,BGD,2015,s,a,45_54,a,All areas,137,72,202
Bangladesh,BD,BGD,2015,s,a,55_64,a,All areas,147,64,229
Bangladesh,BD,BGD,2015,s,a,65plus,a,All areas,333,185,480
Bangladesh,BD,BGD,2015,s,f,15plus,a,All areas,48,30,67
Bangladesh,BD,BGD,2015,s,m,15plus,a,All areas,187,141,234
Bangladesh,BD,BGD,2015,a,a,all,a,All areas,260,220,301
Bangladesh,BD,BGD,2015,b,a,15plus,r,Rural areas,270,220,321
Bangladesh,BD,BGD,2015,b,a,15plus,u,Urban areas,316,239,392
Bangladesh,BD,BGD,2015,s,a,15plus,r,Rural areas,103,77,129
Bangladesh,BD,BGD,2015,s,a,15plus,u,Urban areas,131,78,185
China,CN,CHN,1990,a,a,all,a,All areas,215,201,230
China,CN,CHN,1990,b,a,3monthplus,a,All areas,177,165,189
China,CN,CHN,1990,b,f,3monthplus,a,All areas,118,,
China,CN,CHN,1990,b,m,3monthplus,a,All areas,208,,
China,CN,CHN,1990,s,a,15_24,a,All areas,115,,
China,CN,CHN,1990,s,a,25_34,a,All areas,250,,
China,CN,CHN,1990,s,a,35_44,a,All areas,305,,
China,CN,CHN,1990,s,a,3monthplus,a,All areas,134,124,144
China,CN,CHN,1990,s,a,45_54,a,All areas,476,,
China,CN,CHN,1990,s,a,55_64,a,All areas,708,,
China,CN,CHN,1990,s,a,65plus,a,All areas,1575,,
China,CN,CHN,1990,s,f,3monthplus,a,All areas,89,,
China,CN,CHN,1990,s,m,3monthplus,a,All areas,160,,
China,CN,CHN,2000,a,a,all,a,All areas,170,146,196
China,CN,CHN,2000,b,a,3monthplus,a,All areas,160,143,177
China,CN,CHN,2000,b,f,3monthplus,a,All areas,117,,
China,CN,CHN,2000,b,m,3monthplus,a,All areas,311,,
China,CN,CHN,2000,s,a,15_24,a,All areas,181,,
China,CN,CHN,2000,s,a,25_34,a,All areas,129,,
China,CN,CHN,2000,s,a,35_44,a,All areas,268,,
China,CN,CHN,2000,s,a,3monthplus,a,All areas,122,108,137
China,CN,CHN,2000,s,a,45_54,a,All areas,301,,
China,CN,CHN,2000,s,a,55_64,a,All areas,566,,
China,CN,CHN,2000,s,a,65plus,a,All areas,2018,,
China,CN,CHN,2000,s,f,3monthplus,a,All areas,92,,
China,CN,CHN,2000,s,m,3monthplus,a,All areas,243,,
China,CN,CHN,2010,a,a,all,a,All areas,108,94,123
China,CN,CHN,2010,b,a,15_24,a,All areas,45,16,75
China,CN,CHN,2010,b,a,15plus,a,All areas,119,103,135
China,CN,CHN,2010,b,a,25_34,a,All areas,69,38,100
China,CN,CHN,2010,b,a,35_44,a,All areas,79,55,104
China,CN,CHN,2010,b,a,45_54,a,All areas,103,71,135
China,CN,CHN,2010,b,a,55_64,a,All areas,200,151,249
China,CN,CHN,2010,b,a,65plus,a,All areas,369,303,435
China,CN,CHN,2010,b,f,15plus,a,All areas,59,46,72
China,CN,CHN,2010,b,m,15plus,a,All areas,177,149,204
China,CN,CHN,2010,s,a,15_24,a,All areas,20,1,39
China,CN,CHN,2010,s,a,15plus,a,All areas,66,53,79
China,CN,CHN,2010,s,a,25_34,a,All areas,35,15,55
China,CN,CHN,2010,s,a,35_44,a,All areas,38,21,55
China,CN,CHN,2010,s,a,45_54,a,All areas,67,38,95
China,CN,CHN,2010,s,a,55_64,a,All areas,136,90,181
China,CN,CHN,2010,s,m,15plus,a,All areas,99,74,123
China,CN,CHN,2010,s,a,65plus,a,All areas,189,138,238
China,CN,CHN,2010,s,f,15plus,a,All areas,33,23,42
China,CN,CHN,2010,b,a,15plus,r,Rural areas,153,133,172
China,CN,CHN,2010,b,a,15plus,u,Urban areas,73,46,99
China,CN,CHN,2010,s,a,15plus,r,Rural areas,78,64,93
China,CN,CHN,2010,s,a,15plus,u,Urban areas,49,25,74
Ethiopia,ET,ETH,2011,b,a,15_24,a,All areas,292,194,390
Ethiopia,ET,ETH,2011,b,a,15plus,a,All areas,277,208,347
Ethiopia,ET,ETH,2011,b,a,25_34,a,All areas,216,129,303
Ethiopia,ET,ETH,2011,b,a,35_44,a,All areas,259,135,382
Ethiopia,ET,ETH,2011,b,a,45_54,a,All areas,337,161,513
Ethiopia,ET,ETH,2011,b,a,55_64,a,All areas,367,153,582
Ethiopia,ET,ETH,2011,b,a,65plus,a,All areas,227,33,421
Ethiopia,ET,ETH,2011,b,f,15plus,a,All areas,246,176,315
Ethiopia,ET,ETH,2011,b,m,15plus,a,All areas,304,219,388
Ethiopia,ET,ETH,2011,s,a,15_24,a,All areas,113,53,173
Ethiopia,ET,ETH,2011,s,a,15plus,a,All areas,108,73,143
Ethiopia,ET,ETH,2011,s,a,25_34,a,All areas,86,30,143
Ethiopia,ET,ETH,2011,s,a,35_44,a,All areas,117,43,191
Ethiopia,ET,ETH,2011,s,a,45_54,a,All areas,138,23,253
Ethiopia,ET,ETH,2011,s,a,55_64,a,All areas,159,19,300
