country,iso3,g.whoregion,year.new,source.new,all.areas.covered.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi,dr.h.nr.new,dr.h.nr.new.pcnt,dr.h.nr.new.pcnt.lo,dr.h.nr.new.pcnt.hi,year.ret,source.ret,all.areas.covered.ret,surv.quality.ret,dst.rlt.ret,mdr.ret,mdr.ret.pcnt,mdr.ret.pcnt.lo,mdr.ret.pcnt.hi,dr.r.nh.ret,dr.r.nh.ret.pcnt,dr.r.nh.ret.pcnt.lo,dr.r.nh.ret.pcnt.hi,xpert.ret,xpert.dr.r.ret,xpert.dr.r.ret.pcnt,xpert.dr.r.ret.pcnt.lo,xpert.dr.r.ret.pcnt.hi,r.rlt.ret,rr.ret,rr.ret.pcnt,rr.ret.pcnt.lo,rr.ret.pcnt.hi,dst.rlt.hr.ret,dst.rlt.hr.ret.pcnt,dst.rlt.hr.ret.pcnt.lo,dst.rlt.hr.ret.pcnt.hi,dst.rlt.rr.ret,dst.rlt.rr.ret.pcnt,dst.rlt.rr.ret.pcnt.lo,dst.rlt.rr.ret.pcnt.hi,dr.h.nr.ret,dr.h.nr.ret.pcnt,dr.h.nr.ret.pcnt.lo,dr.h.nr.ret.pcnt.hi
Aruba,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,AIA,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,EUR,2012,Surveillance,1,A,172,1,,,,3,,,,0,0,,,,,,,,,,,,,,,,,13,,,,2021,Surveillance,1,A,4,0,,,,,,,,,,,,,4,1,,,,1,,,,1,,,,,,,
Andorra,AND,EUR,2021,Surveillance,1,N,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,,2014,Surveillance,1,A,1,0,,,,1,,,,0,0,,,,,,,,,,,,,,,,,0,,,
United Arab Emirates,ARE,EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,Surveillance,1,R,1,1,,,,,,,,,,,,,1,1,,,,1,,,,1,,,,,,,
Argentina,ARG,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,EUR,2021,Surveillance,1,A,209,42,,,,,,,,,,,,,209,44,,,,72,,,,44,,,,,,,,2021,Surveillance,1,A,47,18,,,,,,,,,,,,,47,20,,,,18,,,,20,,,,,,,
American Samoa,ASM,WPR,2019,Surveillance,1,N,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,,2018,Surveillance,1,R,1,0,,,,,,,,,,,,,1,1,,,,0,,,,0,,,,,,,
Antigua and Barbuda,ATG,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,WPR,2021,Surveillance,1,N,597,7,,,,,,,,,,,,,597,9,,,,47,,,,9,,,,,,,,2019,Surveillance,1,A,31,3,,,,,,,,,,,,,32,3,,,,5,,,,3,,,,,,,
Austria,AUT,EUR,2015,Surveillance,1,A,264,5,,,,1,,,,,,,,,,,,,,,,,,,,,,11,,,,2016,Surveillance,1,R,17,3,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Azerbaijan,AZE,EUR,2021,Surveillance,1,A,1409,113,,,,,,,,,,,,,1409,172,,,,205,,,,172,,,,,,,,2021,Surveillance,1,A,2159,276,,,,,,,,,,,,,2159,487,,,,450,,,,487,,,,,,,
Burundi,BDI,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,EUR,2021,Surveillance,1,N,375,3,,,,,,,,,,,,,377,3,,,,19,,,,3,,,,,,,,2015,Surveillance,1,A,34,2,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,
Benin,BEN,AFR,2010,Survey,1,A,403,,0.5,0.1,2,,0.7,0.2,2.4,,,,,,,,,,,,,,,,,,,,7.4,5.2,10.6,2016,Surveillance,1,R,226,15,,,,0,,,,0,0,,,,,,,,,,,,,,,,,3,,,
Burkina Faso,BFA,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,SEA,2019,Survey,1,A,21,,,,,,,,,,,,,,2096,,0.7,0.4,1.2,,,,,,,,,,,,,2019,Survey,1,A,123,,11.4,7.2,17.5,,,,,,,,,,156,,12.2,8.9,16.5,,17.9,12.7,24.6,,13,9.5,17.6,,6.5,4,10.5
Bulgaria,BGR,EUR,2018,Surveillance,1,A,464,10,,,,,,,,,,,,,476,12,,,,30,,,,12,,,,,,,,2018,Surveillance,1,A,72,14,,,,,,,,,,,,,75,16,,,,19,,,,16,,,,,,,
Bahrain,BHR,EMR,2021,Surveillance,1,N,112,0,,,,,,,,,,,,,112,1,,,,0,,,,1,,,,,,,,2018,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Bahamas,BHS,AMR,2020,Surveillance,1,A,20,0,,,,,,,,,,,,,20,1,,,,1,,,,1,,,,,,,,2020,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Bosnia and Herzegovina,BIH,EUR,2021,Surveillance,1,A,255,,,,,,,,,,,,,,255,1,,,,0,,,,1,,,,,,,,2021,Surveillance,1,A,24,,,,,,,,,,,,,,24,1,,,,0,,,,1,,,,,,,
Belarus,BLR,EUR,2021,Surveillance,1,A,1032,341,,,,,,,,,,,,,1032,390,,,,416,,,,390,,,,,,,,2021,Surveillance,1,A,499,354,,,,,,,,,,,,,499,367,,,,373,,,,367,,,,,,,
Belize,BLZ,AMR,2021,Surveillance,1,N,46,0,,,,,,,,,,,,,46,0,,,,0,,,,0,,,,,,,,2013,Surveillance,1,R,3,3,,,,0,,,,0,0,,,,,,,,,,,,,,,,,3,,,
Bermuda,BMU,AMR,2021,Surveillance,1,N,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),BOL,AMR,2020,Surveillance,1,A,3654,0,,,,,,,,,,,,,3654,51,,,,10,,,,51,,,,,,,,2020,Surveillance,1,A,366,22,,,,,,,,,,,,,366,48,,,,48,,,,48,,,,,,,
Brazil,BRA,AMR,2008,Survey,0,A,3000,,1.4,1,1.8,,0.1,0,0.3,,,,,,,,,,,,,,,,,,,,4.6,3.9,5,2008,Survey,0,A,800,,7.5,5.7,9.9,,0.5,0.1,1.3,,,,,,,,,,,,,,,,,,,,7.8,6,9.8
Barbados,BRB,AMR,2020,Surveillance,1,A,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,,2020,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Brunei Darussalam,BRN,WPR,2021,Surveillance,1,A,162,0,,,,,,,,,,,,,162,0,,,,2,,,,0,,,,,,,,2021,Surveillance,1,A,14,0,,,,,,,,,,,,,14,0,,,,0,,,,0,,,,,,,
Bhutan,BTN,SEA,2021,Surveillance,1,N,385,36,,,,,,,,,,,,,419,44,,,,48,,,,39,,,,,,,,2017,Surveillance,1,A,9,3,,,,,,,,,,,,,9,3,,,,4,,,,3,,,,,,,
Botswana,BWA,AFR,2008,Survey,1,A,924,,2.5,1.5,3.5,,1.1,0.4,1.8,,,,,,,,,,,,,,,,,,,,5.1,3.6,6.4,2008,Survey,1,A,137,,6.6,2.4,10.7,,6.6,2.4,10.7,,,,,,,,,,,,,,,,,,,,3.7,0.5,6.8
Central African Republic,CAF,AFR,2009,Survey,0,A,225,,0.4,0,2.5,,0,0,0,,,,,,,,,,,,,,,,,,,,8.9,5.5,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,2015,Surveillance,1,A,856,7,,,,0,,,,,,,,,,,,,,,,,,,,,,49,,,,2015,Surveillance,1,A,64,4,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Switzerland,CHE,EUR,2018,Surveillance,1,N,261,3,,,,,,,,,,,,,261,3,,,,10,,,,3,,,,,,,,2021,Surveillance,1,R,6,0,,,,,,,,,,,,,7,0,,,,0,,,,0,,,,,,,
Chile,CHL,AMR,2021,Surveillance,1,A,1772,22,,,,,,,,,,,,,1772,38,,,,72,,,,38,,,,,,,,2021,Surveillance,1,A,178,4,,,,,,,,,,,,,179,13,,,,14,,,,13,,,,,,,
China,CHN,WPR,2013,Survey,1,A,6540,,5.36,3.81,6.91,,1.77,1.43,2.1,6540,,7.13,5.56,8.7,,,,,,,,,,,,,,,7.49,6.66,8.33,2020,Surveillance,1,A,29160,5619,,,,,,,,,,,,,36433,6937,,,,8241,,,,6937,,,,,,,
Côte d'Ivoire,CIV,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,COD,AFR,2017,Survey,1,A,1152,,0.9,0.4,1.8,,,,,,,,,,1487,,1.8,1,3.2,,7.2,4.8,10.7,,1.7,0.9,3.3,,6.6,4.4,9.8,2017,Survey,1,A,84,,15.8,9,26.3,,,,,,,,,,150,,17.3,11.9,24.4,,23,14.5,34.5,,16,9.1,26.5,,8.7,3.2,21.2
Congo,COG,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,COK,WPR,2016,Surveillance,1,A,2,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,,2012,Surveillance,1,A,1,1,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Colombia,COL,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,Surveillance,1,R,391,50,,,,4,,,,,1,,,,,,,,,,,,,,,,,22,,,
Comoros,COM,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,Surveillance,1,R,11,0,,,,,,,,,,,,,11,1,,,,0,,,,1,,,,,,,
Costa Rica,CRI,AMR,2019,Surveillance,1,A,315,1,,,,,,,,,,,,,315,1,,,,8,,,,1,,,,,,,,2019,Surveillance,1,A,21,0,,,,,,,,,,,,,21,0,,,,0,,,,0,,,,,,,
Cuba,CUB,AMR,2012,Surveillance,1,A,269,2,,,,4,,,,0,0,,,,,,,,,,,,,,,,,4,,,,2018,Surveillance,1,R,55,11,,,,,,,,,,,,,67,21,,,,13,,,,17,,,,,,,
Curaçao,CUW,AMR,2017,Surveillance,1,A,8,0,,,,,,,,,,,,,8,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,AMR,2018,Surveillance,1,N,3,0,,,,,,,,,,,,,3,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,EUR,2021,Surveillance,1,A,29,3,,,,,,,,,,,,,29,3,,,,7,,,,3,,,,,,,,2021,Surveillance,1,A,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,
Czechia,CZE,EUR,2021,Surveillance,1,N,239,9,,,,,,,,,,,,,239,9,,,,20,,,,9,,,,,,,,2020,Surveillance,1,A,10,3,,,,,,,,,,,,,10,3,,,,3,,,,3,,,,,,,
Germany,DEU,EUR,2015,Surveillance,1,A,271,6,,,,0,,,,,,,,,,,,,,,,,,,,,,23,,,,2015,Surveillance,1,A,154,32,,,,3,,,,,,,,,,,,,,,,,,,,,,5,,,
Djibouti,DJI,EMR,2015,Survey,1,A,187,,7.5,4.2,12.2,,,,,,,,,,301,,4.7,2.8,7.7,,11.8,7.5,17.3,,11.8,7.5,17.3,,,,,2015,Survey,1,A,40,,50,33.8,66.2,,,,,,,,,,66,,34.9,24.5,46.9,,52.5,36.1,68.5,,35,20.6,51.7,,,,
Dominica,DMA,AMR,2011,Surveillance,1,A,1,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,,2012,Surveillance,1,S,1,0,,,,0,,,,1,0,,,,,,,,,,,,,,,,,0,,,
Denmark,DNK,EUR,2021,Surveillance,1,A,113,1,,,,,,,,,,,,,113,1,,,,7,,,,1,,,,,,,,2021,Surveillance,1,A,12,0,,,,,,,,,,,,,12,0,,,,0,,,,0,,,,,,,
Dominican Republic,DOM,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Surveillance,1,R,221,68,,,,7,,,,0,0,,,,,,,,,,,,,,,,,46,,,
Algeria,DZA,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,Surveillance,1,R,446,82,,,,,,,,,,,,,446,98,,,,135,,,,98,,,,,,,
Egypt,EGY,EMR,2021,Surveillance,1,A,2962,23,,,,,,,,,,,,,2962,75,,,,44,,,,75,,,,,,,,2021,Surveillance,1,A,306,8,,,,,,,,,,,,,306,25,,,,20,,,,25,,,,,,,
Eritrea,ERI,AFR,2018,Survey,1,A,502,,1,0.3,2.3,,,,,,,,,,502,,2,1,3.6,,4.4,2.8,6.6,,2,1,3.6,,,,,2018,Survey,1,A,53,,3.8,0.5,13,,,,,,,,,,53,,7.5,2.1,18.2,,7.5,2.1,18.2,,7.5,2.1,18.2,,,,
Spain,ESP,EUR,2015,Surveillance,1,A,769,30,,,,2,,,,,,,,,,,,,,,,,,,,,,54,,,,2015,Surveillance,1,A,61,10,,,,1,,,,,,,,,,,,,,,,,,,,,,6,,,
Estonia,EST,EUR,2021,Surveillance,1,A,68,14,,,,,,,,,,,,,74,16,,,,19,,,,14,,,,,,,,2021,Surveillance,1,A,13,9,,,,,,,,,,,,,13,9,,,,9,,,,9,,,,,,,
Ethiopia,ETH,AFR,2018,Survey,1,A,1723,,1.02,0.49,1.54,,,,,,,,,,2037,,1.08,0.55,1.61,,5.14,3.76,6.52,,1.27,0.65,1.9,,3.94,2.78,5.11,2018,Survey,1,A,176,,8.52,4.69,12.35,,,,,,,,,,231,,7.49,4.03,10.95,,13.64,8.68,18.59,,9.3,5,13.61,,5.11,1.99,8.24
Finland,FIN,EUR,2021,Surveillance,1,N,87,2,,,,,,,,,,,,,87,2,,,,7,,,,2,,,,,,,,2017,Surveillance,1,A,3,1,,,,,,,,,,,,,3,2,,,,2,,,,2,,,,,,,
Fiji,FJI,WPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,EUR,2014,Surveillance,1,A,2511,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,Surveillance,1,A,288,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia (Federated States of),FSM,WPR,2019,Surveillance,1,N,27,0,,,,,,,,,,,,,27,0,,,,1,,,,0,,,,,,,,2021,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Gabon,GAB,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,Surveillance,1,R,118,32,,,,,,,,,,,,,118,32,,,,32,,,,32,,,,,,,
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,2020,Surveillance,1,N,1542,23,,,,,,,,,,,,,1546,31,,,,123,,,,31,,,,,,,,2019,Surveillance,1,A,122,3,,,,,,,,,,,,,123,4,,,,8,,,,4,,,,,,,
Georgia,GEO,EUR,2021,Surveillance,1,A,790,84,,,,,,,,,,,,,953,101,,,,149,,,,88,,,,,,,,2014,Surveillance,1,A,503,197,,,,7,,,,122,12,,,,,,,,,,,,,,,,,48,,,
Ghana,GHA,AFR,2020,Surveillance,1,A,8016,5,,,,,,,,,,,,,8016,180,,,,5,,,,180,,,,,,,,2020,Surveillance,1,A,619,9,,,,,,,,,,,,,619,30,,,,11,,,,30,,,,,,,
Guinea,GIN,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,GMB,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,EUR,2020,Surveillance,1,A,262,4,,,,,,,,,,,,,263,6,,,,15,,,,6,,,,,,,,2020,Surveillance,1,A,16,1,,,,,,,,,,,,,16,1,,,,1,,,,1,,,,,,,
Grenada,GRD,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,Surveillance,1,R,174,9,,,,,,,,,,,,,174,23,,,,33,,,,23,,,,,,,
Guam,GUM,WPR,2021,Surveillance,1,A,35,1,,,,,,,,,,,,,35,1,,,,4,,,,1,,,,,,,,2021,Surveillance,1,A,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,
Guyana,GUY,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, Hong Kong SAR",HKG,WPR,2021,Surveillance,1,A,2180,17,,,,,,,,,,,,,2181,22,,,,113,,,,21,,,,,,,,2021,Surveillance,1,A,156,4,,,,,,,,,,,,,156,6,,,,10,,,,6,,,,,,,
Honduras,HND,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,EUR,2018,Surveillance,1,A,224,1,,,,,,,,,,,,,225,1,,,,3,,,,1,,,,,,,,2020,Surveillance,1,R,6,1,,,,,,,,,,,,,6,1,,,,3,,,,1,,,,,,,
Haiti,HTI,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,EUR,2021,Surveillance,1,A,138,5,,,,,,,,,,,,,139,6,,,,15,,,,6,,,,,,,,2021,Surveillance,1,A,23,5,,,,,,,,,,,,,23,5,,,,6,,,,5,,,,,,,
Indonesia,IDN,SEA,2010,Survey,0,A,1404,,2,1,3,,1.5,0.9,2.1,,,,,,,,,,,,,,,,,,,,6.3,4.5,8.2,2010,Survey,0,A,155,,9.7,5.7,13.7,,1.9,0,4.1,,,,,,,,,,,,,,,,,,,,9.7,5,14.4
India,IND,SEA,2016,Survey,1,A,3064,,2.8,2.3,3.5,,,,,3075,,2.8,2,3.5,3064,,2.8,2.3,3.5,,11.1,10,12.2,,2.8,2.3,3.5,,,,,2019,Surveillance,1,R,109762,5323,,,,,,,,,,,,,131162,18100,,,,12652,,,,5654,,,,,,,
Ireland,IRL,EUR,2015,Surveillance,1,A,94,1,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,,2021,Surveillance,1,R,4,1,,,,,,,,,,,,,4,2,,,,1,,,,2,,,,,,,
Iran (Islamic Republic of),IRN,EMR,2014,Survey,1,A,1047,,0.8,0.3,1.4,,0.5,0.2,1.1,,,,,,,,,,,,,,,,,,,,2,1.3,3.1,2021,Surveillance,1,R,235,14,,,,,,,,,,,,,263,20,,,,44,,,,20,,,,,,,
Iraq,IRQ,EMR,2013,Survey,1,A,956,,1.1,0.3,1.8,,5,3.9,7.1,,,,,,,,,,,,,,,,,,,,6.7,4.6,9.6,2021,Surveillance,1,R,149,50,,,,,,,,,,,,,149,57,,,,54,,,,57,,,,,,,
Iceland,ISL,EUR,2019,Surveillance,1,N,4,0,,,,,,,,,,,,,4,0,,,,0,,,,0,,,,,,,,2017,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Israel,ISR,EUR,2021,Surveillance,1,A,103,9,,,,,,,,,,,,,103,9,,,,17,,,,9,,,,,,,,2021,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Italy,ITA,EUR,2019,Surveillance,1,N,1706,34,,,,,,,,,,,,,1706,41,,,,141,,,,41,,,,,,,,2015,Surveillance,1,A,112,14,,,,1,,,,,,,,,,,,,,,,,,,,,,7,,,
Jamaica,JAM,AMR,2020,Surveillance,1,N,37,0,,,,,,,,,,,,,37,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,EMR,2019,Surveillance,1,N,76,2,,,,,,,,,,,,,76,2,,,,2,,,,2,,,,,,,,2009,Surveillance,1,A,7,2,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Japan,JPN,WPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,EUR,2021,Surveillance,1,A,5121,1503,,,,,,,,,,,,,5121,1932,,,,2359,,,,1932,,,,,,,,2021,Surveillance,1,A,2401,762,,,,,,,,,,,,,2401,1011,,,,1123,,,,1011,,,,,,,
Kenya,KEN,AFR,2014,Survey,1,A,1680,,0.7,0.2,1.1,,0.6,0.3,1.2,,,,,,,,,,,,,,,,,,,,4.8,3.7,6.3,2014,Survey,1,A,194,,6.7,3.6,11.2,,3.1,1.1,6.6,,,,,,,,,,,,,,,,,,,,4.6,2.1,8.6
Kyrgyzstan,KGZ,EUR,2021,Surveillance,1,A,1570,402,,,,,,,,,,,,,1932,500,,,,647,,,,500,,,,,,,,2020,Surveillance,1,A,698,324,,,,,,,,,,,,,698,377,,,,408,,,,377,,,,,,,
Cambodia,KHM,WPR,2007,Survey,1,A,781,,1.4,0.7,2.5,,0.4,0.1,1.2,,,,,,,,,,,,,,,,,,,,5.8,4.2,7.8,2007,Survey,1,A,56,,10.7,4,21.9,,0,0,6.4,,,,,,,,,,,,,,,,,,,,7.1,2,17.3
Kiribati,KIR,WPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,KNA,AMR,2019,Surveillance,1,N,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Korea,KOR,WPR,2021,Surveillance,1,N,9284,183,,,,,,,,,,,,,9284,279,,,,318,,,,279,,,,,,,,2020,Surveillance,1,A,2273,125,,,,,,,,,,,,,2273,196,,,,271,,,,195,,,,,,,
Kuwait,KWT,EMR,2021,Surveillance,1,N,395,5,,,,,,,,,,,,,401,5,,,,22,,,,5,,,,,,,,2014,Surveillance,1,A,1,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Lao People's Democratic Republic,LAO,WPR,2018,Survey,1,A,776,,0.5,0,1,,,,,,,,,,897,,1.2,0.5,2,,4.8,3.4,6.5,,1.4,0.7,2.5,,,,,2018,Survey,1,A,44,,2.3,0,6.7,,,,,,,,,,49,,4.1,0,9.6,,6.8,1.4,18.7,,4.5,0.6,15.5,,,,
Lebanon,LBN,EMR,2021,Surveillance,1,A,228,2,,,,,,,,,,,,,228,3,,,,5,,,,3,,,,,,,,2021,Surveillance,1,A,3,0,,,,,,,,,,,,,3,0,,,,0,,,,0,,,,,,,
Liberia,LBR,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,LCA,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,SEA,2018,Survey,1,A,1052,,0.1,0,0.5,,,,,,,,,,1421,,0.1,0,0.5,,0.2,0,0.7,,0.2,0,0.7,,,,,2018,Survey,1,A,67,,3,0.4,10.4,,,,,,,,,,98,,3.1,0.6,8.7,,3,0.4,10.4,,4.5,0.9,12.5,,,,
Lesotho,LSO,AFR,2014,Survey,1,A,1409,,3.2,2.2,4.1,,1.6,1,2.3,,,,,,,,,,,,,,,,,,,,4,3.1,5.1,2014,Survey,1,A,1677,,7.3,4.2,10.4,,6.2,3.7,9.6,,,,,,,,,,,,,,,,,,,,5.1,2.9,8.3
Lithuania,LTU,EUR,2021,Surveillance,1,A,465,68,,,,,,,,,,,,,465,73,,,,121,,,,73,,,,,,,,2021,Surveillance,1,A,96,30,,,,,,,,,,,,,96,32,,,,39,,,,32,,,,,,,
Luxembourg,LUX,EUR,2021,Surveillance,1,A,21,0,,,,,,,,,,,,,21,0,,,,2,,,,0,,,,,,,,2021,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Latvia,LVA,EUR,2021,Surveillance,1,A,158,12,,,,,,,,,,,,,160,14,,,,42,,,,12,,,,,,,,2021,Surveillance,1,A,24,5,,,,,,,,,,,,,24,5,,,,9,,,,5,,,,,,,
"China, Macao SAR",MAC,WPR,2021,Surveillance,1,A,191,0,,,,,,,,,,,,,193,3,,,,12,,,,1,,,,,,,,2021,Surveillance,1,A,30,2,,,,,,,,,,,,,30,2,,,,5,,,,2,,,,,,,
